"","word","n"
"1","stopputinnow",22368
"2","people",23064
"3","exclude",25519
"4","council",26153
"5","world",26370
"6","security",27832
"7","amp",30354
"8","un",30506
"9","war",31557
"10","sky",35356
"11","stoprussia",36499
"12","close",39862
"13","nato",47656
"14","russian",54018
"15","russia",89730
"16","deaths",102630
"17","civilian",103102
"18","assistance",103492
"19","humanitarian",103760
"20","defend",104456
"21","innocent",104701
"22","needs",106339
"23","safeairliftukraine",107992
"24","weapons",109550
"25","provide",110090
"26","potus",124262
"27","stop",134681
"28","stopputin",140283
"29","putin",245796
"30","ukraine",249003
