"","trigram","n"
"1","security council potus",8677
"2","potus eucopresident vonderleyen",8941
"3","eucopresident vonderleyen europarl",8946
"4","vonderleyen europarl en",8977
"5","council stopputin stoprussia",16512
"6","aggression ukraine nato",16698
"7","stop russian aggression",16731
"8","security council stopputin",16767
"9","ukraine nato close",16828
"10","russian aggression ukraine",16968
"11","nato close sky",22682
"12","sky ukraine exclude",25394
"13","ukraine exclude russia",25408
"14","exclude russia un",25431
"15","russia un security",25682
"16","un security council",25730
"17","close sky ukraine",30155
"18","provide safeairliftukraine stopputin",93135
"19","deaths potus provide",95053
"20","civilian deaths potus",95082
"21","defend putin stop",96270
"22","putin stop innocent",96409
"23","innocent civilian deaths",101213
"24","assistance defend putin",101254
"25","potus provide safeairliftukraine",101286
"26","stop innocent civilian",101436
"27","ukraine needs weapons",102322
"28","needs weapons humanitarian",102423
"29","weapons humanitarian assistance",102556
"30","humanitarian assistance defend",102773
