"","bigram","n"
"1","dialogue ukraine",1009
"2","attaché form",1024
"3","ukrainerussianwar khalistan",1024
"4","army defend",1026
"5","form sikhs",1027
"6","military attaché",1027
"7","sikhs army",1027
"8","ukraine military",1035
"9","defend zelensky",1037
"10","zelensky russianukrainianwar",1041
"11","ukraine president",1185
"12","president zelensky",1298
"13","president zelenskyy",1472
"14","beautiful standwithukraine",2265
"15","prague tonight",2265
"16","tonight zelenskyy’s",2265
"17","cities freedom",2275
"18","link address",2275
"19","peace unbreakable",2275
"20","unbreakable unshakable",2275
"21","unshakable utterly",2275
"22","utterly beautiful",2275
"23","zelenskyy’s video",2275
"24","eu solidarity",2276
"25","freedom eu",2276
"26","solidarity peace",2276
"27","video link",2280
"28","address european",2293
"29","european cities",2302
"30","standwithukraine stopputin",2307
