"","trigram","n"
"1","comment better reach",493
"2","russia russiaukrainewar solidaritywithukraine",493
"3","russian ukrainewar kiev",493
"4","russiaukrainewar solidaritywithukraine standwithukraine",493
"5","solidaritywithukraine standwithukraine russian",493
"6","standwithukraine russian ukrainewar",493
"7","ukrainewar kiev kharkive",493
"8","ukriane russia russiaukrainewar",493
"9","india modi supports",629
"10","modi supports russians",629
"11","ukraine president zelenskyy",769
"12","ukrainerussianwar khalistan dialogue",1001
"13","khalistan dialogue ukraine",1005
"14","dialogue ukraine military",1008
"15","attaché form sikhs",1024
"16","military attaché form",1024
"17","defend zelensky russianukrainianwar",1025
"18","army defend zelensky",1026
"19","form sikhs army",1026
"20","sikhs army defend",1026
"21","ukraine military attaché",1027
"22","beautiful standwithukraine stopputin",2265
"23","prague tonight zelenskyy’s",2265
"24","tonight zelenskyy’s video",2265
"25","utterly beautiful standwithukraine",2265
"26","address european cities",2275
"27","cities freedom eu",2275
"28","european cities freedom",2275
"29","link address european",2275
"30","peace unbreakable unshakable",2275
"31","solidarity peace unbreakable",2275
"32","unbreakable unshakable utterly",2275
"33","unshakable utterly beautiful",2275
"34","video link address",2275
"35","zelenskyy’s video link",2275
"36","eu solidarity peace",2276
"37","freedom eu solidarity",2276
